"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000197077" -5.47422875600779 1.34812293682924 -10.1203070792184 4.57843226975487e-07 7.63093847017573e-05 6.88719739135468
"ENSG00000168140" 3.00672995917414 4.67579833076856 10.1038133476208 4.65682476894025e-07 7.70654958570581e-05 6.87069593436624
"ENSG00000165891" -4.22058309196861 0.144329850313866 -10.0454050194953 4.94628146600516e-07 8.12792476956087e-05 6.81204859040589
"ENSG00000184408" -2.93232237733039 -0.630718494975327 -9.96585733687648 5.37211966424206e-07 8.76594687030938e-05 6.73164100750777
"ENSG00000197046" -2.55299942211267 7.47610861035952 -9.9208467603322 5.63044958946462e-07 9.12367435559496e-05 6.68586876656638
"ENSG00000105784" -4.13778429412092 0.211226459760146 -9.90562780647734 5.72079980012932e-07 9.19526711987575e-05 6.6703470361997
"ENSG00000180884" -4.57200994142481 0.213435848015478 -9.90019243460281 5.75344561370472e-07 9.19526711987575e-05 6.66479797285611
"ENSG00000106823" 2.36696781752167 -0.975725902561214 9.85553245249304 6.0294097121921e-07 9.57076504927146e-05 6.61909280525443
"ENSG00000100234" 2.59541821686335 6.70501614986177 9.82586097943849 6.22062504837067e-07 9.80720370501707e-05 6.58861709931185
"ENSG00000123689" -4.28320291444471 0.417316067331608 -9.81879723308076 6.26710340692697e-07 9.80720370501707e-05 6.58134892744848
"ENSG00000099256" -3.18609910829593 2.32984181049358 -9.81316198791636 6.3044508260588e-07 9.80720370501707e-05 6.57554701571864
"ENSG00000144476" -3.39520782679027 -0.556013181410285 -9.7803327928718 6.52684954746556e-07 0.000100859276384478 6.54168354494874
"ENSG00000100626" 3.94859027154428 -0.044303594436847 9.74062870796124 6.80718019449598e-07 0.000104499172801559 6.50058369175194
"ENSG00000271858" 3.86542041252931 -0.0742891840905056 9.6969436720836 7.13068355047794e-07 0.000108749915011015 6.45517875464644
"ENSG00000183454" 4.89355136106872 0.534903751411616 9.65657505003624 7.4443880258221e-07 0.000112796980645801 6.41304834945578
"ENSG00000146678" 5.27780715190402 2.57389785817235 9.61739391249497 7.76312527289768e-07 0.000116867590398577 6.37199802479861
"ENSG00000267280" 2.81017345656948 4.44854771914203 9.61079618476318 7.81822911965014e-07 0.000116942665562767 6.36507005821483
"ENSG00000232679" -3.93990309787032 -0.023414182249383 -9.58873871982724 8.00553229381807e-07 0.000118981586333727 6.3418760432705
"ENSG00000146674" 4.42639497012553 5.49575123756246 9.55902958095231 8.26548905345506e-07 0.000122067671881848 6.31055681932705
"ENSG00000149557" -3.45752426970711 3.5101257025469 -9.47517301489554 9.04954959367741e-07 0.000132806408942685 6.22166200972947
"ENSG00000156049" 2.65809529949168 -0.642542479699184 9.42782610617121 9.52733448859679e-07 0.000138841503077234 6.1711462402257
"ENSG00000055163" -3.97179121223941 4.2062527982929 -9.42278435420901 9.57979000404331e-07 0.000138841503077234 6.16575318874516
"ENSG00000196196" 2.5704010177075 2.60994749717595 9.39679010423026 9.85522134776546e-07 0.000141845750151539 6.1379052303025
"ENSG00000187134" 3.50272761411872 7.44467716582788 9.38901300489469 9.93927465545719e-07 0.000141845750151539 6.12955967676135
"ENSG00000064886" 2.90583951123865 4.69178260223771 9.38623872651066 9.96944502650743e-07 0.000141845750151539 6.12658107091265
"ENSG00000225783" 4.45338774615089 0.58992028756947 9.35081764369952 1.03634402472413e-06 0.000146557887714624 6.08847960293604
"ENSG00000126561" -4.5937456277246 0.263858074162948 -9.29988835683728 1.09596045401021e-06 0.000154055067673941 6.0334627913828
"ENSG00000121005" -3.01842896300757 -0.535304280518904 -9.23477861630295 1.17761048417078e-06 0.000164541096033779 5.96272355738883
"ENSG00000117407" 3.27858791508272 3.79569135086542 9.22790538894261 1.18660454151523e-06 0.00016481089506974 5.95522947743806
"ENSG00000104059" -3.64125152603403 -0.10987868582234 -9.20040087490336 1.22334296843117e-06 0.000168908194232976 5.92518949239325
"ENSG00000163430" 2.59404423250802 7.92870855985904 9.1751897009284 1.25809511873443e-06 0.000172684655885584 5.89758237736343
"ENSG00000234145" -2.82152206075878 -0.0278196110889101 -9.15611548815026 1.28509358952585e-06 0.000175358911216352 5.87664962757773
"ENSG00000087250" 4.88466188733058 2.50641671274439 9.14568937910382 1.30011420346452e-06 0.00017637712106768 5.86519090590394
"ENSG00000230615" 6.41937960829299 1.98470237975965 9.11562070338176 1.34450157800829e-06 0.000181344507637257 5.83207783382039
"ENSG00000046604" -5.58273628572513 1.49387594276674 -9.1008570418557 1.36689029304007e-06 0.000182715097668625 5.81578322235172
"ENSG00000101680" -3.33715633156243 3.55067387694318 -9.09861575570276 1.3703240803981e-06 0.000182715097668625 5.81330743510044
"ENSG00000198542" -3.81331595470577 4.54610979545726 -9.09168855165584 1.38099579585195e-06 0.000182798316391348 5.80565197244518
"ENSG00000106537" 3.20447452225703 4.82159770423951 9.08806337877912 1.38661618244916e-06 0.000182798316391348 5.80164358730739
"ENSG00000150275" -3.6099984199642 -0.330141743562938 -9.03978532898393 1.46385871154837e-06 0.000191897074018369 5.74812443464301
"ENSG00000136999" -2.79239468751343 4.45151968237911 -9.03302063616821 1.47504662747257e-06 0.000192243050218469 5.74060485128411
"ENSG00000183421" 3.13671585655498 4.27064114310021 9.02825987693071 1.48297544524404e-06 0.000192243050218469 5.73530979603375
"ENSG00000085662" 2.54932959918011 11.3677342917589 9.00426094931229 1.52364892860787e-06 0.000196424442542188 5.70857932045384
"ENSG00000046774" 6.29580683433838 2.06778985697818 8.98989390044836 1.54857141524805e-06 0.000198143399221158 5.69254648392131
"ENSG00000242732" 2.90179316501343 0.00651571788868393 8.9859680115695 1.55545769710317e-06 0.000198143399221158 5.6881614223498
"ENSG00000022567" -2.33215446707608 3.07513260159416 -8.98199647053612 1.56245759221278e-06 0.000198143399221158 5.68372362693446
"ENSG00000133169" -8.04258057858936 3.90702145000004 -8.96693284488691 1.58931709556612e-06 0.000200460135718593 5.66687560654017
"ENSG00000175745" -6.17263392703942 2.18892835580405 -8.95211594662964 1.61622187292459e-06 0.000202301996839574 5.65027889029058
"ENSG00000130513" -2.84409927359218 7.04226278276335 -8.94576377115894 1.62790596461175e-06 0.000202301996839574 5.64315618837037
"ENSG00000240100" -3.96068476241402 -0.249243595839402 -8.94466862920808 1.62992951940687e-06 0.000202301996839574 5.64192774921624
"ENSG00000135821" -2.46677882594872 6.57167873893229 -8.93786230617662 1.64256677074726e-06 0.000202519060223301 5.63428997891863
"ENSG00000114698" -2.66184189254532 -0.867647209891965 -8.93439944540088 1.64903666077086e-06 0.000202519060223301 5.63040211502298
"ENSG00000261407" 3.04237564327756 -0.443784998922498 8.92143685847333 1.67349999029178e-06 0.000204447375777321 5.61583669977707
"ENSG00000233901" -3.6083168863431 -0.226505662393115 -8.91399824087088 1.68771441477459e-06 0.000205110042470574 5.60746979966608
"ENSG00000139629" -3.399858507346 2.35645838297981 -8.87785450959466 1.75865467585578e-06 0.000212624083971082 5.56672722616515
"ENSG00000169083" -3.50188076195205 2.17160412439148 -8.83423619708053 1.84856429162633e-06 0.000222342263818602 5.51736312374849
"ENSG00000064205" -6.55037970063023 3.94760969863706 -8.82520101746028 1.86779938296095e-06 0.000223221845476219 5.50711086536338
"ENSG00000185436" -2.53279547804156 -0.799737214141358 -8.82183981282672 1.87500993028795e-06 0.000223221845476219 5.50329453146378
"ENSG00000003137" 3.94950473278314 2.74909217449678 8.80810242031971 1.9047924934896e-06 0.000225616386005514 5.48768368656852
"ENSG00000119514" -3.23010271068595 3.92263231480311 -8.79970428557676 1.92324988234473e-06 0.000226652084619354 5.4781296949118
"ENSG00000105514" -3.56224435753509 4.61015488560939 -8.79472572314588 1.93428248969212e-06 0.000226806771932039 5.47246213579185
"ENSG00000162981" -2.84593125525967 -0.00224038911261204 -8.7822934501641 1.96213099203868e-06 0.000228921822841153 5.45829701405743
"ENSG00000116741" 3.74921406618265 4.9435660798473 8.77523077088539 1.9781433186486e-06 0.000229641772126101 5.4502420766345
"ENSG00000270058" 3.87360043599163 0.0399689663663906 8.76936825305996 1.99154141257088e-06 0.000230052610499649 5.44355159602752
"ENSG00000242265" 2.21468719484415 6.55751590117752 8.75379303916737 2.02761304298899e-06 0.000233065629286232 5.4257576421278
"ENSG00000225880" 3.16556529877551 1.97164325826997 8.73734526927957 2.06646952723358e-06 0.000236367646806218 5.40693673039868
